studyId	studyType	analysisFlag	qualityControl	isCurated
GCST005060			Failed summary statistics quality control	TRUE
GCST005069			Failed summary statistics quality control	TRUE
GCST005074				TRUE
GCST005065			Failed summary statistics quality control	TRUE
GCST005066			Failed summary statistics quality control	TRUE
GCST004941			Failed summary statistics quality control	TRUE
GCST005070			Failed summary statistics quality control	TRUE
GCST005061			Failed summary statistics quality control	TRUE
GCST005058			Failed summary statistics quality control	TRUE
GCST005062			Failed summary statistics quality control	TRUE
GCST005072			Failed summary statistics quality control	TRUE
GCST004939			Failed summary statistics quality control	TRUE
GCST005071			Failed summary statistics quality control	TRUE
GCST005067			Failed summary statistics quality control	TRUE
GCST005063			Failed summary statistics quality control	TRUE
GCST004940			Failed summary statistics quality control	TRUE
GCST005064			Failed summary statistics quality control	TRUE
GCST005068			Failed summary statistics quality control	TRUE
GCST004904				TRUE
GCST004885				TRUE
GCST004883				TRUE
GCST004884				TRUE
GCST004901				TRUE
GCST004952				TRUE
GCST006804				TRUE
GCST004954				TRUE
GCST006489				TRUE
GCST006490				TRUE
GCST004988				TRUE
GCST005038			Failed summary statistics quality control	TRUE
GCST005194				TRUE
GCST005195				TRUE
GCST006696				TRUE
GCST006699				TRUE
GCST006697				TRUE
GCST006702				TRUE
GCST006701				TRUE
GCST006698				TRUE
GCST006700				TRUE
GCST005232			Failed summary statistics quality control	TRUE
GCST006862				TRUE
GCST005212				TRUE
GCST005327			Failed summary statistics quality control	TRUE
GCST005353			Failed summary statistics quality control	TRUE
GCST005348				TRUE
GCST005350				TRUE
GCST005344				TRUE
GCST005349				TRUE
GCST005345				TRUE
GCST005346				TRUE
GCST005314				TRUE
GCST005362			Failed summary statistics quality control	TRUE
GCST012597				TRUE
GCST005367			Failed summary statistics quality control	TRUE
GCST005413			Failed summary statistics quality control	TRUE
GCST005898				TRUE
GCST006308				TRUE
GCST006307				TRUE
GCST006306				TRUE
GCST006305				TRUE
GCST005845				TRUE
GCST005846				TRUE
GCST005848				TRUE
GCST005850				TRUE
GCST005847				TRUE
GCST005849				TRUE
GCST006943				TRUE
GCST006941				TRUE
GCST006942				TRUE
GCST006946				TRUE
GCST006951				TRUE
GCST006944				TRUE
GCST006940				TRUE
GCST006952				TRUE
GCST006945				TRUE
GCST006948				TRUE
GCST006950				TRUE
GCST006947				TRUE
GCST006906				TRUE
GCST006907				TRUE
GCST006909				TRUE
GCST005841				TRUE
GCST005840				TRUE
